aX,aY,aZ,gX,gY,gZ
0.404,0.443,0.084,-27.222,43.579,-102.234
0.567,0.731,0.092,-19.897,41.016,-101.562
0.714,0.992,0.056,5.371,37.720,-94.116
1.223,1.731,-0.120,24.048,38.269,-84.839
1.500,2.045,-0.250,45.776,40.955,-70.374
1.691,2.198,-0.412,94.421,55.908,-30.090
1.788,1.977,-0.518,118.530,68.176,-8.850
1.750,1.712,-0.410,154.846,91.370,25.696
1.404,1.218,-0.219,161.804,98.328,37.903
1.149,1.021,-0.180,159.485,102.417,47.302
0.902,0.843,-0.144,129.822,104.553,58.899
0.516,0.491,-0.033,104.980,102.722,60.913
0.372,0.377,0.020,42.542,92.468,56.335
0.207,0.319,-0.002,9.766,84.595,51.025
0.214,0.322,-0.063,-41.016,70.923,36.438
0.271,0.367,-0.116,-52.185,66.772,27.771
0.263,0.386,-0.116,-52.856,63.965,19.104
0.240,0.377,-0.121,-32.593,60.608,3.357
0.218,0.310,-0.159,-18.799,59.631,-4.089
0.196,0.262,-0.181,1.648,57.922,-19.104
0.899,1.939,-0.966,-70.068,42.236,-32.288
1.088,2.178,-1.056,-62.012,53.223,-0.183
1.038,2.088,-0.993,-50.354,58.228,13.306
0.851,1.838,-0.924,-12.817,60.852,23.132
0.451,1.298,-0.771,11.902,58.655,19.531
0.326,1.131,-0.691,38.452,55.054,12.146
0.256,0.990,-0.606,89.355,47.119,-6.409
0.195,0.767,-0.450,108.093,43.213,-16.174
0.168,0.701,-0.386,126.221,37.598,-33.508
0.133,0.552,-0.294,128.113,36.255,-40.405
0.136,0.480,-0.260,127.075,35.950,-46.448
0.145,0.411,-0.234,118.774,37.537,-56.396
0.125,0.301,-0.211,111.938,39.429,-60.791
0.100,0.265,-0.194,94.849,44.128,-68.420
0.089,0.195,-0.162,85.693,46.387,-71.838
0.103,0.170,-0.153,67.200,50.171,-78.247
0.109,0.162,-0.134,58.105,51.697,-81.116
0.108,0.179,-0.122,49.683,52.734,-83.435
0.116,0.214,-0.112,36.255,53.650,-85.815
0.149,0.354,-0.115,31.799,53.894,-85.510
0.213,0.460,-0.129,28.442,53.894,-81.665
0.489,0.787,-0.188,30.396,53.467,-78.796
0.649,0.992,-0.210,35.034,52.734,-75.562
0.786,1.205,-0.159,49.438,47.607,-68.970
1.000,1.487,-0.128,60.242,42.175,-66.101
1.101,1.551,-0.227,95.337,34.485,-60.791
1.240,1.527,-0.349,118.774,35.461,-56.396
1.289,1.484,-0.385,143.311,39.185,-50.232
1.323,1.452,-0.412,186.951,52.612,-32.593
1.251,1.314,-0.262,203.064,60.608,-21.912
1.112,1.184,-0.174,219.727,71.533,-1.221
0.750,0.905,-0.041,218.872,73.608,7.507
0.622,0.761,-0.021,202.026,72.815,20.203
0.636,0.423,-0.020,187.317,71.045,22.949
0.716,0.314,-0.031,168.396,68.909,22.766
0.767,0.266,-0.080,118.591,64.148,17.029
0.680,0.296,-0.086,88.318,61.768,13.733
0.553,0.340,-0.040,26.306,52.490,9.827
0.391,0.433,-0.121,-0.061,45.898,9.094
0.417,0.466,-0.145,-21.118,39.795,8.789
0.485,0.486,-0.136,-46.936,28.809,7.202
0.580,0.531,-0.120,-52.246,23.254,5.310
0.594,0.558,-0.120,-50.415,13.245,1.160
0.555,0.618,-0.225,-46.265,9.399,-0.488
0.514,0.666,-0.317,-42.419,6.775,-1.709
0.508,0.668,-0.338,-38.879,4.517,-3.479
0.587,0.686,-0.307,-38.086,2.441,-5.432
0.600,0.716,-0.319,-35.156,-2.869,-10.437
0.593,0.755,-0.297,-33.081,-5.005,-12.512
0.590,0.753,-0.271,-27.771,-9.644,-14.893
0.541,0.690,-0.201,-24.902,-12.573,-15.381
0.514,0.654,-0.167,-22.339,-16.052,-15.747
0.502,0.632,-0.149,-18.127,-23.743,-15.747
0.484,0.581,-0.102,-16.418,-27.405,-15.076
0.454,0.528,-0.104,-11.047,-33.997,-13.611
0.374,0.448,-0.102,-6.592,-36.316,-13.000
0.330,0.420,-0.080,3.906,-39.490,-10.742
