aX,aY,aZ,gX,gY,gZ
1.078,0.196,-0.281,-22.522,4.272,10.742
1.094,0.175,-0.278,-7.629,4.089,2.869
1.064,0.148,-0.267,-2.563,3.113,-1.221
1.044,0.156,-0.291,2.319,-0.122,-7.324
1.062,0.206,-0.309,1.831,-1.160,-8.362
1.070,0.219,-0.285,-0.793,-2.136,-7.935
1.004,0.213,-0.276,-7.690,-5.554,-6.348
0.975,0.215,-0.275,-7.996,-7.324,-6.348
0.950,0.227,-0.255,0.061,-10.254,-6.897
0.911,0.274,-0.269,7.507,-11.902,-6.226
0.920,0.273,-0.324,21.118,-13.794,-3.174
0.906,0.156,-0.369,22.156,-13.794,-2.014
0.895,0.113,-0.405,18.555,-13.611,-1.282
0.881,0.105,-0.433,-0.183,-12.695,2.075
0.839,0.160,-0.333,-13.062,-12.817,4.333
0.823,0.184,-0.277,-26.611,-16.479,5.798
0.794,0.270,-0.280,-24.170,-18.372,5.188
0.790,0.275,-0.272,-13.367,-18.433,3.845
0.774,0.294,-0.237,-8.301,-16.846,3.174
0.788,0.304,-0.212,-4.272,-14.832,2.869
0.845,0.307,-0.202,-1.221,-11.292,2.869
0.967,0.256,-0.248,-2.991,-9.888,3.174
0.973,0.231,-0.266,-9.094,-7.385,3.845
0.923,0.210,-0.290,-9.827,-6.042,3.784
0.909,0.237,-0.307,-2.136,-1.770,2.869
0.933,0.267,-0.308,3.723,1.221,2.991
0.961,0.249,-0.272,7.263,4.150,3.296
0.996,0.235,-0.226,1.831,7.507,3.479
1.010,0.240,-0.192,-4.883,7.629,3.296
0.986,0.241,-0.194,-13.733,6.958,2.319
0.943,0.255,-0.204,-13.489,6.714,1.648
0.933,0.265,-0.232,-10.559,6.714,1.221
0.925,0.258,-0.283,-0.366,8.301,0.977
0.923,0.255,-0.246,6.287,9.888,0.366
0.930,0.246,-0.192,16.235,10.071,-2.380
0.923,0.216,-0.175,17.456,8.667,-4.395
0.915,0.231,-0.198,15.930,6.775,-8.667
0.917,0.265,-0.213,14.954,6.775,-9.888
0.945,0.296,-0.220,14.221,7.019,-10.132
0.951,0.275,-0.216,12.634,6.592,-9.460
0.917,0.280,-0.235,11.292,5.859,-9.216
0.920,0.293,-0.234,6.714,4.395,-7.874
0.952,0.365,-0.189,2.930,3.235,-5.981
0.976,0.342,-0.206,-1.770,1.160,-2.502
0.989,0.251,-0.257,-8.301,-3.113,5.310
0.943,0.313,-0.273,-6.409,-3.967,7.202
0.942,0.337,-0.269,4.517,-3.601,11.536
0.937,0.252,-0.281,8.057,-2.869,14.099
0.923,0.201,-0.260,7.935,-1.892,16.357
0.923,0.163,-0.224,-0.671,-0.793,18.555
0.914,0.163,-0.170,-5.249,-1.465,18.188
0.892,0.205,-0.188,-5.554,-4.517,15.686
0.887,0.252,-0.284,-0.854,-5.737,14.771
0.903,0.244,-0.325,9.033,-5.493,13.245
0.930,0.249,-0.225,10.986,-5.005,12.207
0.927,0.262,-0.153,11.230,-5.859,11.108
0.925,0.285,-0.135,12.451,-10.437,9.766
0.946,0.307,-0.200,15.198,-11.780,9.949
0.946,0.288,-0.212,19.165,-11.230,10.986
0.936,0.257,-0.187,16.968,-10.620,10.925
0.936,0.261,-0.176,11.414,-10.437,10.559
0.935,0.273,-0.171,-3.357,-10.986,9.705
0.936,0.297,-0.174,-8.240,-11.414,9.216
0.933,0.307,-0.182,-7.751,-11.780,7.812
0.949,0.318,-0.194,-4.395,-11.536,7.263
0.957,0.316,-0.185,-1.282,-10.132,6.836
0.933,0.300,-0.153,-2.869,-9.888,6.531
0.918,0.296,-0.157,-5.249,-10.071,5.737
0.912,0.296,-0.164,-7.874,-9.705,3.479
0.933,0.307,-0.175,-8.362,-8.789,2.747
0.943,0.308,-0.179,-10.010,-6.042,2.686
0.927,0.304,-0.152,-11.475,-4.822,2.686
0.922,0.308,-0.146,-12.817,-4.150,2.502
