aX,aY,aZ,gX,gY,gZ
0.113,0.978,-0.236,-1.404,-23.560,10.986
0.107,0.963,-0.234,1.404,-22.827,8.484
0.102,0.952,-0.224,2.136,-22.583,6.653
0.107,0.955,-0.220,2.136,-22.217,3.540
0.113,0.969,-0.218,1.648,-22.034,2.502
0.109,0.982,-0.218,1.160,-21.790,1.892
0.110,0.989,-0.220,0.916,-20.874,2.136
0.114,0.981,-0.222,1.648,-20.081,2.502
0.114,0.973,-0.217,2.930,-18.066,3.357
0.116,0.965,-0.202,2.319,-17.212,3.845
0.115,0.967,-0.197,-1.282,-16.541,4.761
0.119,0.957,-0.199,-3.174,-16.541,5.066
0.113,0.955,-0.203,-4.578,-16.479,5.005
0.110,0.954,-0.209,-5.432,-16.113,4.272
0.104,0.946,-0.216,-4.822,-15.625,3.723
0.104,0.947,-0.216,-2.502,-14.404,2.686
0.121,0.938,-0.213,-1.038,-13.794,2.197
0.120,0.934,-0.210,0.122,-13.306,1.770
0.122,0.932,-0.211,1.099,-12.756,0.854
0.132,0.935,-0.218,1.221,-12.573,0.488
0.125,0.943,-0.219,1.282,-11.963,0.305
0.141,0.952,-0.228,1.831,-11.536,0.610
0.148,0.958,-0.225,3.845,-10.193,1.160
0.135,0.967,-0.215,4.150,-9.766,1.587
0.141,0.960,-0.220,4.211,-9.399,2.075
0.146,0.952,-0.226,4.883,-7.629,2.319
0.133,0.939,-0.223,4.517,-6.409,2.258
-0.771,1.592,-0.264,107.178,-89.172,71.045
-0.800,1.638,-0.238,107.910,-119.446,98.328
-0.854,1.582,-0.155,105.164,-133.423,112.610
-0.881,1.462,-0.122,63.110,-162.109,140.442
-0.865,1.282,0.069,16.663,-178.101,154.114
-0.829,1.266,0.179,-44.128,-196.960,168.457
-0.797,1.287,0.215,-175.232,-243.408,201.843
-0.825,1.442,0.269,-228.638,-269.409,222.229
-0.859,1.552,0.341,-292.480,-330.749,272.949
-0.821,1.624,0.473,-299.866,-367.065,301.636
-0.789,1.588,0.487,-292.480,-406.372,329.773
-0.814,1.407,0.408,-254.578,-489.197,376.831
-0.841,1.292,0.415,-233.093,-531.128,392.822
-0.862,1.189,0.406,-184.387,-618.958,403.748
-0.973,1.102,0.257,-150.024,-663.086,398.315
-1.149,1.093,0.144,-60.242,-748.962,367.310
-1.962,1.283,-0.304,-11.719,-789.917,343.018
-2.384,1.436,-0.648,38.513,-828.308,315.613
-2.593,1.511,-1.028,176.270,-888.977,249.207
-2.680,1.525,-1.656,272.034,-906.128,204.285
-2.651,1.469,-1.820,461.365,-904.175,93.628
-2.241,1.152,-1.713,520.752,-881.836,34.668
-1.890,0.998,-1.582,539.551,-798.523,-72.998
-1.252,0.872,-1.271,504.822,-744.080,-113.708
