aX,aY,aZ,gX,gY,gZ
0.321,0.884,-0.216,-0.916,-4.028,12.817
0.320,0.893,-0.231,7.568,-2.197,13.672
-0.279,1.626,-0.697,9.827,-67.383,-73.425
-0.290,1.650,-0.700,-22.278,-87.097,-95.703
-0.291,1.696,-0.773,-35.522,-98.328,-109.375
-0.275,1.732,-0.832,-55.969,-117.004,-140.991
-0.221,1.771,-0.905,-67.993,-122.314,-156.799
-0.183,1.761,-0.887,-82.703,-125.305,-171.814
-0.158,1.748,-0.837,-114.075,-130.798,-199.280
-0.119,1.695,-0.715,-128.662,-135.742,-211.914
-0.063,1.622,-0.676,-160.889,-149.536,-235.657
0.081,1.481,-0.690,-180.908,-156.189,-246.155
0.141,1.446,-0.703,-224.854,-166.260,-260.193
0.218,1.431,-0.651,-244.080,-171.326,-263.062
0.240,1.421,-0.603,-271.179,-186.279,-262.390
0.326,1.308,-0.533,-278.687,-195.801,-260.925
0.377,1.242,-0.516,-282.959,-205.627,-259.460
0.425,1.190,-0.511,-292.236,-223.145,-253.235
0.481,1.113,-0.483,-300.293,-231.384,-247.070
0.486,1.103,-0.470,-314.087,-251.099,-229.980
0.453,1.075,-0.444,-315.369,-261.841,-219.727
0.427,1.029,-0.440,-304.138,-280.579,-199.280
0.403,0.989,-0.404,-297.180,-287.720,-189.209
0.375,0.975,-0.384,-293.640,-294.373,-178.528
0.355,0.938,-0.376,-290.283,-308.838,-156.067
0.308,0.826,-0.295,-283.813,-316.772,-145.447
0.249,0.800,-0.252,-263.062,-333.679,-123.840
0.116,0.702,-0.171,-254.028,-340.393,-111.511
0.063,0.658,-0.120,-241.150,-347.351,-85.266
0.034,0.531,0.056,-234.558,-349.243,-71.350
0.002,0.397,0.149,-224.243,-352.173,-58.716
-0.058,0.300,0.216,-192.505,-363.403,-42.603
-0.197,0.228,0.305,-174.866,-369.995,-36.987
-0.189,0.172,0.342,-141.296,-377.380,-26.611
-0.168,0.075,0.468,-128.601,-376.099,-22.461
-0.235,0.081,0.539,-120.911,-366.760,-12.695
-0.394,0.154,0.627,-123.962,-359.680,-4.761
-0.456,0.217,0.667,-127.991,-350.464,5.737
-0.496,0.286,0.730,-132.568,-323.181,34.302
-0.580,0.393,0.895,-129.150,-305.359,50.354
-0.660,0.462,1.000,-104.370,-266.235,81.421
-0.867,0.590,1.174,-85.449,-246.704,96.497
-0.942,0.627,1.266,-41.809,-206.909,125.000
-1.054,0.648,1.424,-19.165,-185.364,137.573
-1.126,0.655,1.481,0.977,-162.292,149.353
-1.219,0.661,1.529,25.085,-112.122,173.035
-1.426,0.709,1.610,28.687,-85.754,185.913
-1.513,0.765,1.629,31.250,-30.273,213.318
-1.659,0.887,1.585,39.612,-0.671,227.051
-1.760,0.933,1.536,55.481,30.212,240.234
-1.885,0.971,1.487,89.539,95.825,267.334
-2.164,0.995,1.387,97.046,131.042,281.860
-2.322,1.010,1.320,95.947,208.740,307.739
-2.583,1.124,1.112,97.717,253.357,316.589
-2.672,1.167,0.940,104.980,303.406,323.120
-2.759,1.153,0.694,126.648,424.744,330.933
-2.984,1.025,0.019,130.249,497.436,331.970
-3.039,1.056,-0.464,103.455,669.800,327.942
-2.998,1.353,-1.686,79.651,768.799,324.280
-2.922,1.496,-2.407,59.143,973.572,315.430
-2.891,1.456,-3.452,76.233,1063.965,311.462
-3.163,1.350,-3.513,110.657,1129.944,309.021
-3.612,1.371,-3.363,184.021,1140.137,313.965
-3.933,1.591,-2.916,197.632,1079.834,320.251
-3.510,1.713,-2.634,172.913,867.432,325.256
-2.496,1.864,-2.411,142.944,735.046,319.885
-2.039,1.871,-2.533,105.347,600.891,307.434
-1.577,1.800,-2.695,23.926,371.948,257.080
-0.872,1.529,-2.817,1.099,286.987,217.407
-0.691,1.422,-2.750,1.526,168.091,123.230
-0.671,1.313,-2.590,6.409,128.235,78.674
-0.660,1.295,-2.511,-2.991,79.895,11.902
-0.526,1.328,-2.414,-15.076,69.946,-8.484
-0.440,1.363,-2.348,-27.039,67.322,-21.179
-0.379,1.388,-2.240,-37.048,69.763,-31.067
-0.371,1.414,-1.874,-27.222,66.956,-31.982
-0.383,1.435,-1.699,23.437,44.678,-27.954
-0.304,1.412,-1.572,51.819,29.053,-22.217
-0.220,1.342,-1.624,73.730,14.893,-15.320
-0.085,1.123,-1.717,94.543,0.916,-6.409
-0.059,1.017,-1.649,99.121,0.427,-7.690
-0.057,0.947,-1.506,104.065,-2.258,-18.372
-0.080,0.857,-1.168,101.685,-9.094,-24.109
-0.062,0.824,-1.042,87.891,-32.471,-32.837
0.019,0.769,-0.882,79.468,-45.715,-35.950
0.042,0.729,-0.837,71.533,-58.228,-38.818
0.060,0.656,-0.788,57.800,-78.003,-45.227
0.073,0.648,-0.785,51.575,-84.229,-48.584
0.100,0.654,-0.783,38.147,-88.623,-52.917
0.146,0.658,-0.734,30.884,-88.013,-53.284
0.139,0.649,-0.696,16.846,-84.717,-51.208
0.121,0.663,-0.610,9.705,-82.764,-48.950
0.086,0.699,-0.571,2.319,-80.750,-45.471
0.048,0.744,-0.524,-10.803,-77.332,-33.630
0.057,0.844,-0.434,-14.832,-76.233,-25.208
0.077,0.879,-0.432,-13.000,-73.853,-5.249
0.119,0.866,-0.466,-5.432,-71.716,4.395
0.121,0.827,-0.470,22.461,-65.796,17.212
0.092,0.725,-0.458,40.833,-62.988,19.287
0.097,0.692,-0.439,60.364,-60.547,18.799
0.122,0.688,-0.413,90.210,-55.481,15.686
0.142,0.739,-0.335,94.055,-52.734,16.296
